# nf, iter, fx, opt
29, 13, 0.00000e+00, 6.86724e-05
1756, 330, 2.00063e+04, 5.18319e-05
16, 11, -1.86454e+03, 3.69690e-08
169, 100, 2.69334e-09, 9.87290e-05
74, 61, 1.72327e+00, 9.40202e-05
7333, 7110, 3.82342e+00, 9.26645e-05
32, 20, 5.65899e-09, 8.41271e-05
32, 20, 5.65899e-09, 8.41271e-05
15004, 14224, 1.55566e+03, 8.78337e-05
23, 14, -9.99900e+03, 9.54333e-05
178, 136, 1.69045e+03, 3.69916e-05
70304, 68231, -1.00316e+06, 9.98697e-05
92901, 89709, -1.00316e+06, 8.95382e-05
11, 7, 1.00000e+00, 7.78857e-05
11, 6, 1.00000e+00, 3.72441e-05
13, 7, 1.00000e+00, 5.10747e-05
15, 8, 1.00000e+00, 2.87655e-05
144, 138, 1.00001e+00, 8.92641e-05
117, 110, 1.00000e+00, 8.46316e-05
112, 104, 1.00000e+00, 8.98479e-05
117, 107, 1.00000e+00, 7.78105e-05
184, 175, 1.00042e+00, 9.89314e-05
83, 77, 1.00002e+00, 6.62542e-05
68, 60, 1.00004e+00, 7.79706e-05
67, 58, 1.00002e+00, 9.67455e-05
314, 307, 1.00033e+00, 8.27964e-05
110, 102, 1.00016e+00, 9.59439e-05
117, 110, 1.00005e+00, 8.16252e-05
116, 109, 1.00004e+00, 9.94462e-05
2230, 2153, 2.26322e-03, 8.13765e-05
22, 11, 4.88179e-10, 9.95537e-06
68, 41, 6.20472e-04, 7.20919e-05
31, 22, 1.20033e+04, 6.47610e-05
14, 4, -9.98947e+02, 7.29186e-07
11433, 11084, 3.76199e-06, 9.34735e-05
2965, 2905, 2.39863e-04, 9.69917e-05
9527, 9244, 5.01855e-07, 9.47076e-05
37, 20, 5.54867e+03, 8.97737e-05
41, 30, 4.62139e-11, 6.65090e-05
54, 45, -2.49177e+05, 1.48382e-05
66, 54, 1.92087e-11, 7.47272e-05
221, 214, 1.00007e+00, 9.10743e-05
308, 300, 1.00015e+00, 9.72165e-05
100011, 2871, 6.08159e+05, 1.85162e-04
11225, 9427, 5.48673e-08, 6.03805e-05
100001, 4040, -9.87894e+06, 1.16099e-02
630, 610, 8.66812e-01, 9.76489e-05
46, 25, 4.21075e-15, 1.06997e-05
100002, 63735, 8.20162e+00, 6.99756e-02
13, 8, 1.14073e-08, 9.14551e-05
1803, 1745, 3.56119e-06, 8.96143e-05
1267, 1223, 2.54840e-06, 9.63470e-05
260, 230, -1.16893e+03, 9.68739e-05
268, 239, 7.35130e+03, 9.15959e-05
6886, 6706, 1.15842e+04, 8.99898e-05
100000, 97184, 1.15923e+04, 5.22957e-04
36, 14, 5.88667e-19, 3.79087e-07
427, 369, 6.23287e-05, 7.83104e-05
2061, 142, 7.72761e+04, 5.57198e-02
69, 38, 1.02761e-02, 2.00150e-05
41, 27, 6.00635e-05, 3.18612e-05
407, 358, 8.38525e-07, 9.06886e-05
68, 41, 6.20472e-04, 7.20919e-05
42, 34, -1.49940e+04, 7.00773e-05
100000, 2660, -6.75701e+06, 2.98735e-03
100000, 96008, 1.43709e-03, 1.15854e-02
50, 31, 1.67126e-06, 5.27351e-05
157, 147, 4.71839e-07, 7.34819e-05
25, 13, 1.36535e-16, 6.60577e-09
7436, 7186, 9.82985e-10, 9.96728e-05
3994, 3856, 2.34547e-09, 8.30943e-05
3, 1, 1.00020e+01, 9.83676e-41
34, 25, 2.98144e-15, 8.80175e-06
1581, 1523, 1.10889e-09, 9.92666e-05
52, 32, 7.50378e-09, 5.48963e-05
62, 29, 5.17915e-13, 2.31971e-06
17, 8, 4.45547e-12, 3.52085e-06
