# nf, iter, fx, opt
29, 13, 0.00000e+00, 6.86724e-05
429, 347, 2.00063e+04, 8.02654e-05
16, 11, -1.86454e+03, 3.69690e-08
405, 380, 2.81117e-10, 9.99462e-05
75, 65, 1.72327e+00, 8.37507e-05
7224, 7205, 3.82342e+00, 9.14535e-05
32, 21, 4.84520e-09, 7.71406e-05
32, 21, 4.84520e-09, 7.71406e-05
15159, 15045, 1.71416e+03, 9.11882e-05
23, 14, -9.99900e+03, 9.54333e-05
138, 123, 1.69045e+03, 8.66944e-05
70482, 70469, -1.00316e+06, 9.82193e-05
93305, 93283, -1.00316e+06, 9.93632e-05
11, 7, 1.00000e+00, 7.78857e-05
11, 6, 1.00000e+00, 3.72441e-05
13, 7, 1.00000e+00, 5.10747e-05
15, 8, 1.00000e+00, 2.87655e-05
140, 136, 1.00001e+00, 8.45157e-05
109, 104, 1.00000e+00, 9.64756e-05
88, 83, 1.00001e+00, 9.71520e-05
109, 102, 1.00000e+00, 8.84045e-05
221, 217, 1.00023e+00, 9.35966e-05
74, 70, 1.00004e+00, 9.74384e-05
65, 59, 1.00004e+00, 6.58099e-05
57, 50, 1.00004e+00, 6.68945e-05
305, 301, 1.00037e+00, 9.33816e-05
114, 110, 1.00009e+00, 9.34460e-05
113, 108, 1.00006e+00, 8.53199e-05
102, 96, 1.00006e+00, 5.82308e-05
1368, 1366, 3.73419e-03, 8.77542e-05
22, 11, 4.88179e-10, 9.95537e-06
68, 41, 6.20472e-04, 7.20919e-05
31, 22, 1.20033e+04, 6.47610e-05
14, 4, -9.98947e+02, 7.29186e-07
10453, 10436, 1.14768e-06, 9.95895e-05
2897, 2891, 1.29296e-04, 9.93375e-05
8583, 8574, 7.80754e-07, 8.10070e-05
36, 20, 5.54867e+03, 9.08523e-05
40, 30, 5.83985e-11, 6.36541e-05
46, 45, -2.49788e+05, 5.21539e-05
66, 55, 4.10090e-11, 8.65181e-05
226, 223, 1.00005e+00, 8.41731e-05
297, 294, 1.00023e+00, 9.28836e-05
42, 27, 6.08159e+05, 4.33891e-05
9363, 7938, 7.94859e-08, 9.80553e-05
100024, 4952, -9.92865e+06, 4.89134e-03
685, 680, 8.66810e-01, 9.15292e-05
44, 26, 3.07280e-19, 1.79066e-08
100000, 81787, 8.35005e+00, 2.01301e+01
13, 8, 1.14073e-08, 9.14551e-05
1730, 1724, 4.64851e-06, 8.62875e-05
1273, 1267, 3.29582e-06, 8.69585e-05
217, 208, -1.16646e+03, 9.60733e-05
223, 215, 7.35130e+03, 7.91934e-05
6943, 6938, 1.15842e+04, 9.25320e-05
100000, 99981, 1.15927e+04, 5.75828e-04
34, 14, 5.90316e-19, 3.77895e-07
298, 279, 1.26302e-04, 8.16644e-05
151, 110, 7.72761e+04, 8.35709e-05
69, 38, 1.02761e-02, 2.00150e-05
37, 28, 5.99830e-05, 1.69668e-05
393, 352, 7.19057e-07, 9.79822e-05
68, 41, 6.20472e-04, 7.20919e-05
39, 34, -1.49940e+04, 6.10583e-05
44, 31, -6.75701e+06, 9.20242e-07
100000, 99940, 1.81974e-03, 2.97118e-02
54, 37, 1.90613e-07, 5.00348e-05
145, 142, 6.61960e-07, 9.91674e-05
24, 13, 5.17690e-16, 9.37407e-09
7054, 7009, 6.51740e-10, 9.44456e-05
3929, 3909, 6.52754e-10, 7.79195e-05
3, 1, 1.00020e+01, 9.83676e-41
34, 25, 2.98144e-15, 8.80175e-06
1485, 1471, 1.50934e-09, 8.72936e-05
49, 36, 4.36986e-09, 5.73577e-05
63, 25, 3.55410e-17, 7.00284e-08
17, 8, 4.45547e-12, 3.52085e-06
