# nf, iter, fx, opt
63, 26, 2.26995e-10, 1.36426e-04
377, 252, 2.00063e+04, 3.13561e-03
11, 10, -1.86454e+03, 1.61841e-08
92, 67, 1.51989e-03, 8.19733e-05
51, 39, 7.12528e-01, 8.46365e-05
1613, 1596, 1.96981e+03, 6.76136e-05
34, 26, 4.74947e-10, 3.47199e-05
34, 26, 4.74947e-10, 3.47199e-05
490, 362, 1.00000e+00, 6.63046e-05
19, 10, -9.99900e+03, 4.33118e-05
115, 96, 1.68822e+03, 7.63755e-05
63953, 52842, -1.00316e+06, 9.98494e-05
87452, 71546, -1.00316e+06, 4.17447e-04
12, 10, 1.00000e+00, 1.19069e-05
12, 10, 1.00000e+00, 1.50903e-05
13, 11, 1.00000e+00, 9.08199e-05
15, 13, 1.00000e+00, 7.98285e-06
188, 174, 1.00000e+00, 5.08661e-05
135, 132, 1.00000e+00, 9.38314e-05
139, 129, 1.00000e+00, 9.61237e-05
158, 132, 1.00000e+00, 9.51928e-05
365, 316, 1.00033e+00, 9.07952e-05
69, 60, 1.00007e+00, 9.77771e-05
59, 55, 1.00006e+00, 8.64771e-05
54, 48, 1.00009e+00, 8.24903e-05
340, 305, 1.00038e+00, 6.95178e-05
154, 134, 1.00007e+00, 8.66410e-05
153, 139, 1.00003e+00, 5.43246e-05
87, 85, 1.00009e+00, 9.34693e-05
1511, 1377, 3.83434e-03, 9.60938e-05
22, 18, 2.24317e-11, 5.23787e-05
51, 43, 1.15109e-03, 8.98196e-05
44, 31, 1.20033e+04, 5.01746e-05
5, 4, -9.98947e+02, 3.96665e-05
13656, 11174, 8.24385e-06, 8.21405e-05
2261, 2113, 3.86672e-04, 7.88375e-05
11103, 9218, 2.36316e-06, 8.72348e-05
19, 17, 5.54867e+03, 4.03274e-05
607, 446, 2.59354e-05, 7.79594e-05
45, 41, -2.49623e+05, 2.62648e-05
6789, 5253, 7.04144e-11, 9.42162e-05
227, 222, 1.00005e+00, 9.37324e-05
353, 334, 1.00012e+00, 7.55371e-05
102, 52, 6.08159e+05, 1.63589e-03
6181, 4966, 4.67918e-08, 6.77635e-05
1061, 747, -9.58415e+06, 7.56369e-02
736, 686, 8.66808e-01, 8.48161e-05
32, 24, 3.47953e-14, 2.94135e-06
642, 456, 6.67042e-09, 6.02278e-05
12, 10, 4.53959e-09, 6.52182e-05
1535, 1309, 3.98230e-05, 7.51720e-05
1362, 1178, 3.52986e-06, 6.98093e-05
553, 437, -1.22454e+03, 8.83867e-05
1628, 1262, 7.35130e+03, 8.95258e-05
7019, 6419, 1.15841e+04, 8.30517e-05
81036, 72513, 1.15916e+04, 9.19916e-05
19, 18, 1.21023e-16, 3.44764e-06
385, 317, 1.17358e-04, 9.24288e-05
106, 69, 4.09480e-16, 7.07090e-05
48, 42, 9.72828e-03, 1.99073e-05
92, 63, 2.48784e-04, 8.68584e-05
488, 384, 1.02814e-06, 9.89685e-05
51, 43, 1.15109e-03, 8.98196e-05
48, 38, -1.49940e+04, 9.47366e-05
68, 48, -6.75701e+06, 1.36826e-05
6618, 5137, 1.44279e-06, 9.85029e-05
45, 34, 1.47490e-06, 4.94612e-05
169, 146, 4.82261e-07, 9.05304e-05
18, 17, 1.71191e-08, 8.84470e-05
10048, 8107, 2.68378e-09, 9.50989e-05
5489, 4482, 9.70586e-10, 9.49042e-05
20, 16, 1.00020e+01, 2.59312e-05
27, 24, 1.04489e-13, 8.76838e-05
2198, 1761, 3.59403e-09, 9.90111e-05
162, 115, 2.01622e-08, 3.42449e-05
29, 19, 3.62964e-12, 2.79402e-06
32, 19, 6.04700e-12, 8.90805e-07
