# nf, iter, fx, opt
32, 20, 1.85225e-06, 9.43001e-05
547, 393, 2.00063e+04, 9.44722e-05
11, 10, -1.86454e+03, 1.61841e-08
93, 82, 1.22239e-04, 4.91479e-05
40, 38, 7.12528e-01, 6.70108e-05
1599, 1592, 1.98790e+03, 8.17697e-05
30, 24, 8.48991e-09, 9.51989e-05
30, 24, 8.48991e-09, 9.51989e-05
384, 353, 1.00000e+00, 9.38933e-05
19, 10, -9.99900e+03, 4.33118e-05
91, 81, 1.68822e+03, 5.62817e-05
65339, 65255, -1.00316e+06, 8.94468e-05
100000, 99835, -1.00316e+06, 5.65408e-04
12, 10, 1.00000e+00, 1.19069e-05
12, 10, 1.00000e+00, 1.50903e-05
13, 11, 1.00000e+00, 9.08199e-05
15, 13, 1.00000e+00, 7.98285e-06
158, 156, 1.00001e+00, 9.66625e-05
133, 131, 1.00000e+00, 7.39359e-05
133, 131, 1.00000e+00, 9.11416e-05
130, 128, 1.00000e+00, 9.30533e-05
332, 330, 1.00026e+00, 9.30778e-05
76, 74, 1.00002e+00, 7.51852e-05
67, 65, 1.00003e+00, 7.23737e-05
64, 62, 1.00002e+00, 9.38669e-05
313, 311, 1.00033e+00, 7.59863e-05
119, 117, 1.00009e+00, 6.87768e-05
103, 101, 1.00010e+00, 9.31670e-05
99, 97, 1.00006e+00, 6.74706e-05
1432, 1431, 3.43906e-03, 9.25323e-05
22, 18, 2.27904e-11, 5.28300e-05
51, 43, 1.15109e-03, 8.98196e-05
37, 34, 1.20033e+04, 7.46899e-05
5, 4, -9.98947e+02, 3.96665e-05
11552, 11515, 4.38161e-06, 9.02596e-05
2709, 2699, 6.67539e-05, 8.80302e-05
8639, 8606, 5.22000e-07, 9.61355e-05
19, 17, 5.54867e+03, 4.03247e-05
488, 389, 2.29640e-05, 9.79711e-05
47, 44, -2.50004e+05, 6.83810e-06
5650, 5396, 2.12292e-11, 4.31304e-05
233, 232, 1.00003e+00, 8.67554e-05
322, 321, 1.00003e+00, 9.30019e-05
33, 24, 6.08159e+05, 3.09598e-05
7949, 6555, 2.41805e-08, 4.51140e-05
3570, 2853, -9.88442e+06, 6.37978e-04
602, 600, 8.66811e-01, 9.67805e-05
26, 24, 3.09440e-21, 3.14193e-09
386, 336, 2.74716e+00, 6.80552e-05
12, 10, 4.53935e-09, 6.52135e-05
1438, 1431, 1.03143e-05, 8.12215e-05
1177, 1170, 4.90708e-06, 9.02665e-05
306, 301, -1.22118e+03, 7.70402e-05
1223, 1174, 7.35130e+03, 9.07258e-05
8093, 8082, 1.15841e+04, 9.27596e-05
89403, 89385, 1.15944e+04, 8.61047e-05
19, 18, 1.20983e-16, 3.47183e-06
404, 390, 6.75908e-05, 4.88831e-05
68, 67, 7.52688e-16, 8.55895e-05
48, 42, 9.72828e-03, 1.99073e-05
45, 43, 4.14833e-06, 5.90524e-05
357, 355, 7.75640e-07, 9.69877e-05
51, 43, 1.15109e-03, 8.98196e-05
41, 36, -1.49940e+04, 9.93372e-05
40, 30, -6.75701e+06, 3.71171e-05
5112, 5090, 4.47123e-07, 8.24829e-05
39, 35, 3.02621e-07, 1.82840e-05
154, 147, 4.01909e-07, 9.84832e-05
18, 17, 1.71141e-08, 8.84359e-05
8820, 8721, 3.73731e-10, 8.88803e-05
3791, 3772, 7.71331e-10, 8.86452e-05
20, 16, 1.00020e+01, 2.71774e-05
26, 23, 1.03254e-12, 7.43976e-06
1543, 1523, 1.63924e-09, 9.67264e-05
135, 104, 1.92622e-09, 1.16945e-05
24, 20, 1.06737e-12, 5.01132e-06
30, 18, 2.43819e-11, 7.90899e-06
