# nf, iter, fx, opt
65, 42, 2.06244e-06, 9.95066e-05
364, 236, 2.00063e+04, 7.87731e-03
10, 9, -1.86454e+03, 3.28362e-05
193, 143, 7.36635e-04, 5.90346e-05
47, 38, 7.12528e-01, 4.63074e-05
1578, 1562, 1.95142e+03, 8.24312e-05
36, 30, 1.58622e-09, 7.70052e-05
36, 30, 1.58622e-09, 7.70052e-05
482, 352, 1.00000e+00, 7.60799e-05
18, 9, -9.99900e+03, 7.00829e-05
111, 80, 1.68822e+03, 7.85826e-05
53465, 43144, -1.00316e+06, 9.24213e-05
50920, 40859, -1.00316e+06, 4.13139e-04
12, 10, 1.00000e+00, 1.21076e-05
12, 10, 1.00000e+00, 1.51026e-05
13, 11, 1.00000e+00, 9.08446e-05
15, 13, 1.00000e+00, 7.98530e-06
172, 154, 1.00002e+00, 9.48033e-05
152, 132, 1.00001e+00, 9.99339e-05
142, 129, 1.00000e+00, 9.73387e-05
143, 123, 1.00001e+00, 9.95207e-05
346, 291, 1.00051e+00, 8.89764e-05
81, 63, 1.00008e+00, 9.06196e-05
63, 58, 1.00005e+00, 8.15652e-05
75, 65, 1.00002e+00, 8.08898e-05
350, 325, 1.00030e+00, 6.89433e-05
132, 118, 1.00009e+00, 9.07517e-05
103, 97, 1.00012e+00, 9.30463e-05
97, 88, 1.00010e+00, 8.96825e-05
1344, 1225, 4.30097e-03, 7.87128e-05
22, 18, 1.86886e-11, 4.78760e-05
51, 43, 1.15110e-03, 8.98147e-05
41, 29, 1.20033e+04, 7.71353e-05
5, 4, -9.98947e+02, 3.96665e-05
13453, 10750, 1.02462e-05, 8.79654e-05
3436, 3082, 1.53445e-04, 9.45718e-05
11340, 9242, 6.16471e-07, 6.97345e-05
19, 17, 5.54867e+03, 4.03304e-05
425, 319, 4.99156e-05, 9.02570e-05
43, 38, -2.48770e+05, 2.99738e-05
6680, 5187, 5.95429e-09, 6.51425e-05
230, 216, 1.00006e+00, 9.27263e-05
312, 282, 1.00008e+00, 8.56377e-05
116, 63, 6.08159e+05, 3.67363e-04
11864, 9344, 3.41673e-08, 5.85923e-05
1197, 823, -9.76526e+06, 4.58063e-02
899, 767, 8.66806e-01, 8.21946e-05
78, 55, 2.28220e-10, 1.84506e-05
570, 410, 1.93957e-08, 9.97191e-05
11, 9, 5.50584e-09, 7.15262e-05
1612, 1403, 3.58556e-05, 9.65202e-05
1399, 1168, 2.35615e-05, 9.76311e-05
578, 447, -1.24481e+03, 6.60200e-05
205, 160, 7.35130e+03, 9.92267e-05
6318, 5546, 1.15855e+04, 9.65729e-05
34242, 29871, 1.15920e+04, 8.86101e-05
19, 18, 1.17989e-16, 3.26421e-06
368, 288, 1.63382e-04, 9.36463e-05
101, 67, 6.46237e-16, 9.48157e-05
48, 42, 9.72828e-03, 1.99073e-05
77, 55, 3.51712e-04, 8.17845e-05
501, 424, 7.63124e-07, 8.87219e-05
51, 43, 1.15110e-03, 8.98147e-05
49, 36, -1.49940e+04, 9.21401e-05
143, 85, -6.75701e+06, 3.11798e-02
5145, 3954, 1.20543e-06, 9.48444e-05
52, 37, 7.63315e-06, 7.70508e-05
164, 140, 7.33779e-07, 9.77438e-05
18, 17, 8.43032e-09, 6.41956e-05
8994, 7192, 6.14352e-09, 9.19542e-05
6070, 4807, 9.36891e-10, 9.29553e-05
32, 22, 1.00020e+01, 2.62219e-05
84, 53, 2.88061e-10, 9.69015e-05
1666, 1361, 3.04673e-09, 9.71556e-05
239, 174, 5.22057e-06, 9.32296e-05
41, 22, 3.99703e-08, 7.32935e-05
32, 19, 6.04669e-12, 8.92884e-07
