# nf, iter, fx, opt
33, 21, 2.52904e-07, 5.08935e-05
527, 366, 2.00063e+04, 8.59560e-05
10, 9, -1.86454e+03, 3.28362e-05
122, 99, 7.17922e-05, 5.12723e-05
40, 38, 7.12528e-01, 5.97067e-05
1621, 1608, 1.97148e+03, 8.66626e-05
38, 32, 2.94945e-09, 6.56932e-05
38, 32, 2.94945e-09, 6.56932e-05
362, 332, 1.00000e+00, 8.78632e-05
18, 9, -9.99900e+03, 4.59928e-05
95, 82, 1.68822e+03, 9.39170e-05
80579, 80502, -1.00316e+06, 9.96531e-05
87694, 87590, -1.00316e+06, 9.74165e-05
12, 10, 1.00000e+00, 1.21076e-05
12, 10, 1.00000e+00, 1.51026e-05
13, 11, 1.00000e+00, 9.08446e-05
15, 13, 1.00000e+00, 7.98530e-06
172, 170, 1.00001e+00, 7.37349e-05
132, 130, 1.00000e+00, 9.33109e-05
132, 130, 1.00000e+00, 7.85228e-05
122, 120, 1.00001e+00, 9.14463e-05
296, 294, 1.00038e+00, 9.85777e-05
78, 76, 1.00002e+00, 7.50382e-05
55, 53, 1.00008e+00, 9.73616e-05
64, 62, 1.00002e+00, 7.25376e-05
304, 302, 1.00036e+00, 9.58555e-05
116, 114, 1.00009e+00, 8.30024e-05
107, 105, 1.00009e+00, 9.90923e-05
89, 87, 1.00009e+00, 8.70145e-05
1909, 1907, 2.53983e-03, 9.96693e-05
22, 18, 1.88493e-11, 4.79688e-05
51, 43, 1.15110e-03, 8.98147e-05
37, 34, 1.20033e+04, 7.56295e-05
5, 4, -9.98947e+02, 3.96665e-05
12144, 12118, 2.81874e-07, 9.83565e-05
2688, 2681, 2.27473e-04, 8.61939e-05
9976, 9961, 3.55262e-07, 8.75088e-05
19, 17, 5.54867e+03, 4.03240e-05
672, 534, 6.60964e-06, 6.69647e-05
44, 41, -2.49916e+05, 1.43000e-05
5743, 5391, 5.78818e-12, 2.38882e-05
225, 224, 1.00005e+00, 8.54853e-05
299, 298, 1.00018e+00, 9.89779e-05
47, 33, 6.08159e+05, 7.24706e-05
7466, 6150, 7.93367e-08, 7.91279e-05
1082, 758, -9.81161e+06, 2.58656e-03
687, 685, 8.66808e-01, 6.85636e-05
26, 24, 1.40348e-19, 1.07392e-09
340, 301, 2.74716e+00, 5.42868e-05
11, 9, 5.50584e-09, 7.15262e-05
1443, 1436, 1.37838e-05, 9.93652e-05
1169, 1162, 8.65621e-06, 9.41268e-05
310, 300, -1.24242e+03, 9.28688e-05
1389, 1342, 7.35130e+03, 8.02087e-05
8602, 8589, 1.15854e+04, 8.17984e-05
100000, 99955, 1.15912e+04, 6.65172e-04
19, 18, 1.17947e-16, 3.28243e-06
331, 306, 1.09062e-04, 8.34502e-05
68, 67, 7.52912e-16, 8.55960e-05
48, 42, 9.72828e-03, 1.99073e-05
46, 44, 7.02140e-06, 3.91389e-05
347, 345, 8.19046e-07, 8.83296e-05
51, 43, 1.15110e-03, 8.98147e-05
41, 36, -1.49940e+04, 5.05486e-05
40, 30, -6.75701e+06, 4.43157e-07
4507, 4495, 6.82925e-07, 9.39906e-05
37, 35, 5.56444e-07, 2.32118e-05
148, 142, 6.93070e-07, 9.74562e-05
18, 17, 8.43223e-09, 6.42019e-05
12648, 12482, 5.97231e-10, 6.32197e-05
3828, 3825, 1.22444e-09, 7.55753e-05
20, 16, 1.00020e+01, 3.13273e-05
24, 21, 3.72806e-11, 5.30238e-05
1464, 1454, 1.24114e-09, 9.52309e-05
152, 119, 5.72234e-09, 9.24335e-05
24, 20, 1.63232e-15, 4.89125e-07
30, 18, 2.26824e-11, 1.44255e-06
