# nf, iter, fx, opt
9, 8, 0.00000e+00, 5.47251e-05
1989, 1935, 2.00063e+04, 1.69885e-02
96, 59, -1.86454e+03, 1.10992e-04
3214, 3187, 1.09585e-06, 8.20715e-05
63, 48, 7.12528e-01, 9.66901e-05
1971, 1639, 1.96860e+03, 4.70108e-05
49, 37, 1.34768e-09, 7.12646e-05
49, 37, 1.34768e-09, 7.12646e-05
1075, 1043, 1.00000e+00, 9.83172e-05
18, 9, -9.99900e+03, 7.93840e-05
168, 137, 1.68992e+03, 8.60208e-05
100000, 99977, -1.00316e+06, 8.05727e-04
100000, 99977, -1.00316e+06, 3.82444e-03
13, 11, 1.00000e+00, 1.09460e-05
12, 10, 1.00000e+00, 3.24381e-05
14, 12, 1.00000e+00, 1.78180e-06
15, 13, 1.00000e+00, 2.35064e-05
466, 445, 1.00001e+00, 9.89903e-05
404, 393, 1.00001e+00, 9.87727e-05
390, 380, 1.00001e+00, 9.92801e-05
381, 364, 1.00000e+00, 9.53655e-05
1369, 1346, 1.00003e+00, 8.92528e-05
96, 79, 1.00005e+00, 8.36487e-05
252, 242, 1.00000e+00, 9.95824e-05
115, 94, 1.00002e+00, 4.56970e-05
1246, 1238, 1.00002e+00, 9.99328e-05
480, 467, 1.00001e+00, 9.98229e-05
310, 300, 1.00000e+00, 9.89956e-05
115, 95, 1.00006e+00, 9.97297e-05
3362, 3353, 2.71569e-03, 9.99828e-05
45, 32, 2.09533e-09, 9.02279e-05
51, 43, 1.22142e-03, 8.10206e-05
42, 30, 1.20033e+04, 4.49021e-05
5, 4, -9.98947e+02, 3.96665e-05
100000, 99128, 9.54581e-05, 2.09792e-03
7645, 7618, 1.90704e-04, 9.99364e-05
100000, 99872, 8.66291e-05, 1.17063e-03
24, 17, 5.54867e+03, 9.43916e-05
2522, 2512, 8.77169e-08, 9.99463e-05
47, 39, -2.49228e+05, 2.34746e-05
6558, 5603, 2.92688e-09, 9.25574e-05
273, 262, 1.00011e+00, 8.10841e-05
377, 371, 1.00070e+00, 9.83228e-05
72, 59, 6.08159e+05, 2.41074e-05
9498, 9110, 8.34568e-09, 3.79330e-05
33029, 32676, -9.84264e+06, 1.03527e-01
2865, 2851, 8.66843e-01, 9.95835e-05
157, 144, 6.93480e-12, 9.63049e-05
3549, 3528, 2.74716e+00, 9.96944e-05
12, 9, 7.94610e-09, 7.19211e-05
4338, 4324, 9.54955e-06, 9.93958e-05
2943, 2918, 3.43551e-06, 9.94495e-05
324, 270, 1.43867e+02, 9.71541e-05
10830, 10811, 7.35130e+03, 9.91324e-05
19939, 19896, 1.15844e+04, 9.81775e-05
100000, 99969, 1.16011e+04, 6.95010e-04
27, 13, 3.20311e-11, 7.32365e-05
865, 850, 2.86726e-05, 7.95757e-05
99, 68, 3.71229e-16, 6.43257e-05
48, 42, 9.72828e-03, 1.99073e-05
349, 317, 6.91062e-04, 9.98180e-05
599, 565, 6.55982e-07, 9.90010e-05
51, 43, 1.22142e-03, 8.10206e-05
52, 41, -1.49940e+04, 7.41828e-05
98, 70, -6.75701e+06, 1.65610e-03
34981, 34948, 4.02617e-08, 9.93936e-05
44, 32, 8.97582e-06, 6.32082e-05
416, 400, 2.22102e-07, 9.80326e-05
47, 37, 2.91608e-07, 9.39976e-05
94050, 93979, 1.22265e-09, 9.99991e-05
100000, 99955, 1.94494e-02, 2.76937e-02
24, 16, 1.00020e+01, 8.04953e-05
94, 82, 1.53895e-12, 8.46647e-05
7634, 7599, 2.68886e-09, 9.86456e-05
250, 202, 1.14668e-07, 6.69798e-05
73, 56, 4.08128e-10, 8.45705e-05
40, 35, 2.09286e-09, 4.24463e-05
