# nf, iter, fx, opt
9, 8, 0.00000e+00, 5.47251e-05
1082, 747, 2.00063e+04, 9.49718e-05
112, 73, -1.86454e+03, 8.69170e-05
3730, 3605, 3.68176e-07, 9.98469e-05
74, 59, 7.12528e-01, 9.23109e-05
2700, 2025, 1.90434e+03, 9.96590e-05
75, 62, 3.03623e-10, 4.09752e-05
75, 62, 3.03623e-10, 4.09752e-05
843, 603, 4.57277e+00, 9.04202e-05
18, 9, -9.99900e+03, 4.42445e-05
374, 283, 1.69025e+03, 5.83560e-05
100000, 71197, -1.00316e+06, 6.18428e-04
100000, 71145, -1.00316e+06, 3.88245e-03
13, 11, 1.00000e+00, 1.09460e-05
12, 10, 1.00000e+00, 3.24381e-05
14, 12, 1.00000e+00, 1.78180e-06
15, 13, 1.00000e+00, 2.35064e-05
448, 323, 1.00000e+00, 4.34968e-05
403, 303, 1.00001e+00, 8.30033e-05
356, 262, 1.00001e+00, 9.92635e-05
331, 247, 1.00001e+00, 8.34381e-05
794, 581, 1.00057e+00, 8.17581e-05
130, 100, 1.00007e+00, 7.76314e-05
131, 96, 1.00004e+00, 6.94360e-05
151, 116, 1.00002e+00, 8.72740e-05
584, 426, 1.00073e+00, 8.87972e-05
388, 292, 1.00003e+00, 7.92367e-05
304, 224, 1.00005e+00, 9.51587e-05
264, 193, 1.00003e+00, 9.16177e-05
1856, 1331, 9.07218e-03, 8.98610e-05
205, 139, 3.50609e-10, 7.23362e-05
51, 43, 1.22142e-03, 8.10206e-05
63, 51, 1.20033e+04, 2.80842e-05
5, 4, -9.98947e+02, 3.96665e-05
92516, 65797, 1.20832e-05, 8.89689e-05
5026, 3578, 2.46145e-03, 9.86771e-05
30701, 21834, 9.20776e-06, 9.93308e-05
20, 18, 5.54867e+03, 5.24986e-05
924, 664, 3.38548e-05, 6.88089e-05
135, 118, -2.49365e+05, 5.06939e-06
9714, 7139, 8.30233e-11, 5.15176e-05
828, 611, 1.00004e+00, 7.84482e-05
1014, 733, 1.00025e+00, 8.08562e-05
194, 125, 6.08159e+05, 9.56888e-05
7873, 6103, 5.06336e-08, 7.35392e-05
3464, 2361, -9.80135e+06, 1.25606e-03
1865, 1323, 8.66811e-01, 9.80826e-05
181, 127, 2.31448e-12, 9.48463e-05
938, 665, 2.74716e+00, 5.05689e-05
12, 9, 7.66353e-09, 6.73031e-05
2218, 1575, 1.35647e-04, 8.43819e-05
2310, 1639, 1.50099e-04, 8.88656e-05
915, 674, 1.34339e+02, 7.89236e-05
1393, 1007, 7.35130e+03, 8.69163e-05
26782, 19120, 1.15849e+04, 8.95145e-05
62244, 44367, 1.15994e+04, 9.84787e-05
87, 55, 6.73510e-06, 9.81073e-05
590, 421, 2.17645e-04, 9.73421e-05
96, 91, 2.87032e-16, 4.65512e-05
48, 42, 9.72828e-03, 1.99073e-05
65, 46, 1.16360e-03, 8.21418e-05
840, 606, 9.16241e-07, 9.87438e-05
51, 43, 1.22142e-03, 8.10206e-05
57, 46, -1.49940e+04, 9.88078e-05
223, 157, -6.75701e+06, 4.93923e-05
15677, 11186, 5.11999e-06, 9.16625e-05
60, 48, 2.54492e-07, 8.40603e-05
460, 323, 1.30234e-07, 9.76691e-05
37, 27, 1.20727e-08, 6.22212e-05
74755, 53355, 6.97154e-09, 9.88461e-05
37111, 26401, 5.51336e-10, 9.00740e-05
20, 16, 1.00020e+01, 8.97299e-05
76, 48, 4.90198e-04, 1.60864e-05
6017, 4263, 1.00230e-09, 9.39198e-05
342, 249, 1.20481e-08, 2.54561e-05
41, 29, 7.89391e-10, 5.97178e-05
41, 34, 3.95680e-10, 1.01279e-05
