# nf, iter, fx, opt
7, 6, 1.05894e-09, 2.25555e-06
252, 176, 2.00063e+04, 6.31730e-03
48, 16, -1.86454e+03, 5.45895e-04
24, 19, 4.71402e-02, 4.87987e-05
106, 78, 3.97067e-01, 6.05378e-05
2959, 2364, 1.84779e+03, 9.49051e-05
173, 139, 3.83283e-01, 4.99256e-05
173, 139, 3.83283e-01, 4.99256e-05
815, 641, 1.00000e+00, 9.09526e-05
18, 9, -9.99900e+03, 5.29322e-05
225, 172, 1.68822e+03, 6.96755e-05
40654, 32575, -1.00316e+06, 2.24426e-04
66991, 53817, -1.00316e+06, 4.98118e-04
18, 13, 1.00000e+00, 7.51936e-06
15, 12, 1.00000e+00, 2.07812e-05
16, 12, 1.00000e+00, 1.72441e-05
21, 16, 1.00000e+00, 8.01594e-05
522, 421, 1.00001e+00, 9.65300e-05
281, 227, 1.00001e+00, 9.98742e-05
319, 255, 1.00000e+00, 6.04315e-05
294, 232, 1.00000e+00, 9.91188e-05
1101, 896, 1.00183e+00, 9.83924e-05
113, 87, 1.00014e+00, 9.67876e-05
107, 82, 1.00019e+00, 9.79547e-05
115, 88, 1.00004e+00, 9.44469e-05
612, 496, 1.00075e+00, 8.08599e-05
298, 237, 1.00011e+00, 7.39704e-05
233, 182, 1.00012e+00, 8.89430e-05
221, 173, 1.00011e+00, 8.54302e-05
1244, 977, 1.24970e-02, 9.75376e-05
15, 10, 9.34978e-11, 5.17121e-05
80, 56, 9.37802e-04, 4.97958e-05
43, 33, 1.20033e+04, 6.74759e-05
5, 4, -9.98947e+02, 3.96665e-05
80951, 67821, 7.15852e-06, 9.98959e-05
5296, 4375, 1.59853e-03, 9.96844e-05
33584, 27873, 1.41603e-05, 9.98199e-05
41, 29, 5.54867e+03, 9.33708e-05
12928, 12295, 5.18487e-05, 9.90241e-05
101, 85, -2.46487e+05, 9.13616e-05
21098, 16800, 4.13023e-09, 6.46551e-05
629, 509, 1.00017e+00, 8.82289e-05
988, 798, 1.00102e+00, 9.64848e-05
93, 45, 6.08159e+05, 3.06912e-03
11693, 9643, 3.35824e-09, 2.97353e-05
1367, 1018, -9.10805e+06, 1.84375e-01
1986, 1581, 8.66811e-01, 9.98250e-05
42, 38, 8.07634e-13, 9.02065e-05
630, 456, 2.92994e-08, 9.95091e-05
13, 11, 6.07097e-09, 4.73094e-05
1341, 1075, 1.67932e-04, 9.85224e-05
1651, 1324, 2.06344e-04, 9.81684e-05
557, 444, 5.01759e+02, 8.11563e-05
100000, 99881, 7.35130e+03, 1.25489e-04
37269, 29722, 1.15844e+04, 9.75224e-05
85950, 68925, 1.16057e+04, 8.92992e-05
14, 13, 1.08281e-17, 2.55164e-06
480, 377, 3.24070e-04, 8.84838e-05
139, 99, 7.50294e-16, 9.69524e-05
48, 42, 9.72828e-03, 1.99073e-05
88, 71, 9.56668e-04, 8.17547e-05
1303, 1056, 7.27743e-07, 9.96590e-05
80, 56, 9.37802e-04, 4.97958e-05
106, 82, -1.49940e+04, 9.93576e-05
29, 23, -6.75701e+06, 9.54594e-05
100000, 90022, 5.06322e-02, 1.29171e-03
89, 69, 6.64994e-07, 9.66578e-05
328, 245, 1.82733e-07, 7.50564e-05
87, 63, 9.82655e-08, 5.14610e-05
29473, 24338, 3.78118e-09, 9.26914e-05
45124, 36594, 8.84463e-09, 8.27231e-05
31, 23, 1.00020e+01, 6.50585e-05
4820, 4813, 5.58817e-09, 5.26599e-05
5506, 4406, 4.52958e-09, 9.44805e-05
256, 200, 6.34286e-06, 7.23250e-05
29, 18, 7.38923e-10, 8.62440e-05
4767, 3641, 7.61237e+09, 1.47809e+01
