# nf, iter, fx, opt
7, 6, 1.05894e-09, 2.25555e-06
196, 157, 2.00063e+04, 9.39201e-05
18, 14, -1.86454e+03, 9.08607e-07
20, 17, 4.71429e-02, 5.10142e-05
91, 80, 3.97067e-01, 6.17571e-05
3202, 2533, 1.82786e+03, 6.49174e-05
274, 253, 3.71831e-11, 1.54706e-05
274, 253, 3.71831e-11, 1.54706e-05
574, 478, 1.65607e+01, 2.85487e-05
18, 9, -9.99900e+03, 5.29322e-05
227, 186, 1.69125e+03, 5.32389e-05
58191, 50178, -1.00316e+06, 9.82355e-05
100000, 85960, -1.00316e+06, 1.30673e-04
18, 13, 1.00000e+00, 7.51936e-06
15, 12, 1.00000e+00, 2.07812e-05
16, 12, 1.00000e+00, 1.72441e-05
19, 15, 1.00000e+00, 7.34022e-05
545, 454, 1.00000e+00, 7.70483e-05
280, 253, 1.00001e+00, 9.89728e-05
279, 237, 1.00001e+00, 9.95295e-05
250, 211, 1.00000e+00, 6.77387e-05
1185, 1011, 1.00181e+00, 9.85692e-05
105, 93, 1.00011e+00, 9.38068e-05
125, 109, 1.00007e+00, 9.83753e-05
146, 120, 1.00003e+00, 8.96085e-05
616, 519, 1.00085e+00, 8.87901e-05
248, 216, 1.00005e+00, 7.38877e-05
250, 214, 1.00011e+00, 8.83727e-05
253, 204, 1.00012e+00, 9.70380e-05
1615, 1351, 1.15963e-02, 9.49578e-05
15, 10, 9.34978e-11, 5.17121e-05
76, 54, 9.77218e-04, 4.85920e-05
51, 45, 1.20033e+04, 3.78765e-05
5, 4, -9.98947e+02, 3.96665e-05
91294, 80062, 6.20385e-06, 7.55094e-05
3875, 3289, 1.39102e-03, 8.27404e-05
48442, 44223, 8.49568e-06, 9.96782e-05
31, 28, 5.54867e+03, 9.49529e-05
10311, 10204, 5.64713e-05, 9.99063e-05
162, 138, -2.50194e+05, 2.33924e-05
15317, 12097, 3.15921e-10, 3.68949e-05
602, 480, 1.00013e+00, 9.34516e-05
1076, 886, 1.00066e+00, 6.27413e-05
43, 31, 6.08159e+05, 4.23533e-06
9069, 7658, 5.70484e-08, 9.44879e-05
374, 337, -9.77725e+06, 6.26033e-05
1835, 1556, 8.66809e-01, 8.18066e-05
42, 38, 6.57659e-15, 2.20500e-05
442, 367, 1.22016e-08, 7.44448e-05
13, 11, 6.07097e-09, 4.73094e-05
1462, 1274, 1.44333e-04, 8.06695e-05
1535, 1311, 2.10410e-04, 9.82018e-05
245, 219, 5.25464e+02, 6.84211e-05
23646, 23527, 7.35130e+03, 9.84591e-05
40011, 32792, 1.15845e+04, 9.86047e-05
100000, 81265, 1.16069e+04, 1.25267e-03
14, 13, 1.19228e-17, 2.58649e-06
308, 278, 4.05519e-04, 9.76328e-05
132, 109, 3.69527e-17, 3.97899e-05
48, 42, 9.72828e-03, 1.99073e-05
47, 40, 1.28558e-05, 2.76502e-05
1054, 883, 5.63019e-07, 8.21835e-05
76, 54, 9.77218e-04, 4.85920e-05
97, 76, -1.49940e+04, 8.55586e-05
29, 23, -6.75701e+06, 9.54594e-05
100000, 91070, 5.26019e-02, 1.02717e-03
66, 49, 1.59073e-06, 4.97149e-05
351, 288, 2.18993e-07, 9.73884e-05
49, 37, 2.32336e-11, 3.81068e-06
53977, 45514, 6.81165e-09, 9.97297e-05
47028, 39105, 2.40763e-08, 9.12362e-05
28, 21, 1.00020e+01, 2.74652e-05
4820, 4813, 1.96170e-10, 4.76929e-06
4309, 3679, 1.68825e-10, 1.93671e-05
171, 143, 3.00522e-12, 1.84165e-07
29, 18, 1.22869e-11, 3.22493e-05
4343, 3589, 8.44781e+08, 4.58182e-03
