# nf, iter, fx, opt
22, 12, 0.00000e+00, 7.52685e-05
185, 129, 2.00063e+04, 5.33566e-03
32, 8, -1.86454e+03, 9.97166e-04
74, 52, 1.10193e-08, 8.54184e-05
52, 44, 1.40781e+00, 8.02955e-05
7403, 7058, 3.82342e+00, 6.98190e-05
41, 31, 4.55743e-10, 3.65945e-05
41, 31, 4.55743e-10, 3.65945e-05
15281, 14247, 1.23292e+03, 8.69661e-05
23, 15, -9.99900e+03, 1.93644e-05
89, 75, 1.68822e+03, 7.63973e-05
68200, 66036, -1.00316e+06, 1.65793e-04
74875, 72417, -1.00316e+06, 2.50108e-04
10, 7, 1.00000e+00, 3.07913e-05
9, 6, 1.00000e+00, 1.45505e-05
12, 7, 1.00000e+00, 1.38074e-06
13, 8, 1.00000e+00, 1.58085e-05
149, 142, 1.00001e+00, 8.43274e-05
91, 85, 1.00001e+00, 9.66504e-05
104, 97, 1.00000e+00, 9.42478e-05
100, 92, 1.00000e+00, 9.91340e-05
245, 234, 1.00026e+00, 7.49153e-05
84, 79, 1.00002e+00, 5.62491e-05
76, 68, 1.00001e+00, 6.14543e-05
60, 53, 1.00003e+00, 5.19596e-05
322, 311, 1.00034e+00, 9.19666e-05
123, 117, 1.00008e+00, 8.56305e-05
125, 120, 1.00004e+00, 6.68211e-05
85, 76, 1.00013e+00, 8.50789e-05
1994, 1924, 2.52749e-03, 9.78584e-05
14, 9, 7.71016e-10, 1.12291e-05
53, 42, 3.97278e-04, 3.90026e-05
32, 21, 1.20033e+04, 4.58829e-05
9, 4, -9.98947e+02, 4.43814e-08
8774, 8446, 2.48336e-06, 6.42530e-05
2368, 2302, 1.92556e-04, 9.88148e-05
9822, 9518, 4.93622e-07, 9.18909e-05
22, 15, 5.54867e+03, 5.91190e-05
57, 43, 3.98661e+00, 4.32656e-05
36, 29, -2.49764e+05, 7.57199e-06
5679, 5006, 7.57671e-11, 7.21255e-05
233, 225, 1.00005e+00, 9.72395e-05
295, 286, 1.00007e+00, 8.81583e-05
60, 26, 6.08065e+05, 5.68533e-03
11482, 10117, 2.50229e-08, 4.02707e-05
810, 616, -9.81608e+06, 1.37264e-01
674, 650, 8.66808e-01, 9.68768e-05
34, 25, 5.10623e-17, 1.61869e-06
36474, 29176, 8.16801e+00, 4.93472e-02
11, 9, 5.43764e-09, 6.54488e-05
1568, 1528, 1.19492e-05, 9.96744e-05
1231, 1188, 5.79668e-06, 9.56599e-05
315, 279, -1.12807e+03, 9.36841e-05
117, 107, 7.35130e+03, 9.92364e-05
8644, 8385, 1.15850e+04, 9.02492e-05
84872, 82229, 1.15909e+04, 8.18525e-05
32, 23, 2.83480e-14, 1.06001e-05
440, 393, 5.78740e-05, 8.88390e-05
149, 107, 7.72762e+04, 2.51032e-02
48, 34, 1.02767e-02, 6.60104e-05
33, 26, 5.44822e-04, 8.72988e-05
380, 350, 6.83394e-07, 8.23606e-05
53, 42, 3.97278e-04, 3.90026e-05
38, 33, -1.49940e+04, 9.87786e-05
67, 29, -6.75701e+06, 3.23294e-02
100000, 95818, 2.13002e-03, 3.14590e-02
40, 31, 5.69444e-07, 5.68636e-05
154, 145, 3.74257e-07, 6.36059e-05
21, 15, 1.56694e-08, 3.49423e-05
9210, 8833, 2.17938e-10, 7.41947e-05
3993, 3877, 7.06901e-10, 9.70649e-05
6, 3, 1.00020e+01, 2.40040e-06
29, 20, 1.71290e-12, 6.68066e-05
1499, 1443, 7.00221e-10, 7.97059e-05
73, 49, 7.56203e-11, 2.55817e-06
29, 22, 1.12111e-11, 1.35789e-05
23, 12, 2.29561e-16, 6.51228e-08
