# nf, iter, fx, opt
22, 12, 0.00000e+00, 7.52685e-05
407, 332, 2.00063e+04, 7.88182e-05
13, 8, -1.86454e+03, 1.12811e-05
83, 57, 1.96899e-10, 3.39633e-05
51, 44, 1.40781e+00, 7.64565e-05
7410, 7042, 3.82342e+00, 6.17621e-05
43, 31, 2.37925e-09, 7.82203e-05
43, 31, 2.37925e-09, 7.82203e-05
15605, 14496, 1.56071e+03, 9.87046e-05
23, 15, -9.99900e+03, 1.93644e-05
88, 72, 1.68822e+03, 8.81728e-05
72523, 70141, -1.00316e+06, 9.73924e-05
100000, 96753, -1.00316e+06, 9.70673e-04
10, 7, 1.00000e+00, 3.07913e-05
9, 6, 1.00000e+00, 1.45505e-05
12, 7, 1.00000e+00, 1.38074e-06
13, 8, 1.00000e+00, 1.58085e-05
149, 142, 1.00001e+00, 8.43311e-05
94, 88, 1.00001e+00, 8.84061e-05
106, 97, 1.00000e+00, 9.82170e-05
103, 93, 1.00000e+00, 9.97046e-05
271, 259, 1.00018e+00, 9.57962e-05
87, 82, 1.00002e+00, 6.18792e-05
57, 50, 1.00006e+00, 8.71276e-05
61, 53, 1.00003e+00, 6.23113e-05
306, 294, 1.00046e+00, 7.99200e-05
130, 123, 1.00007e+00, 6.40889e-05
111, 107, 1.00007e+00, 9.55138e-05
108, 101, 1.00005e+00, 6.30919e-05
1848, 1783, 2.72559e-03, 9.80318e-05
14, 9, 7.71016e-10, 1.12291e-05
53, 42, 3.97278e-04, 3.90026e-05
31, 20, 1.20033e+04, 9.43285e-05
9, 4, -9.98947e+02, 4.43814e-08
12428, 11995, 7.64851e-07, 8.95993e-05
2380, 2325, 1.85562e-04, 9.98682e-05
9901, 9574, 7.73248e-07, 9.36596e-05
22, 15, 5.54867e+03, 5.90993e-05
61, 44, 3.98661e+00, 8.14369e-05
44, 35, -2.49986e+05, 6.74382e-06
5700, 5011, 8.84718e-11, 9.00898e-05
229, 222, 1.00004e+00, 9.71701e-05
295, 285, 1.00011e+00, 9.91450e-05
49, 32, 6.08065e+05, 3.92564e-05
11524, 9606, 3.74034e-08, 6.32343e-05
884, 667, -9.90414e+06, 1.28742e-02
628, 604, 8.66811e-01, 9.18352e-05
34, 24, 4.60874e-17, 1.88661e-06
14841, 11983, 8.23429e+00, 1.76996e+00
11, 9, 5.43764e-09, 6.54488e-05
1686, 1633, 1.08710e-05, 9.80227e-05
1268, 1228, 4.89539e-06, 8.51699e-05
282, 253, -1.12110e+03, 8.89469e-05
117, 103, 7.35130e+03, 8.56708e-05
6594, 6432, 1.15848e+04, 9.44517e-05
100000, 96851, 1.15921e+04, 9.18814e-04
32, 23, 2.83480e-14, 1.06001e-05
382, 333, 7.10258e-05, 8.76378e-05
160, 115, 7.72762e+04, 7.35661e-03
48, 34, 1.02767e-02, 6.60104e-05
31, 24, 3.60293e-04, 6.37827e-05
377, 351, 4.22690e-07, 9.16803e-05
53, 42, 3.97278e-04, 3.90026e-05
38, 33, -1.49940e+04, 9.89157e-05
44, 27, -6.75701e+06, 3.06732e-06
100001, 95876, 6.20349e-04, 1.46499e-02
44, 32, 5.19196e-07, 3.68936e-05
148, 140, 6.03891e-07, 9.62201e-05
21, 15, 1.56694e-08, 3.49423e-05
9782, 9305, 5.47061e-10, 9.76966e-05
3906, 3789, 3.79344e-09, 9.76488e-05
6, 3, 1.00020e+01, 2.40040e-06
29, 20, 6.87428e-13, 6.46444e-05
1290, 1250, 6.46989e-10, 8.03821e-05
67, 44, 6.38912e-09, 8.93942e-05
33, 24, 5.61847e-09, 3.69426e-05
29, 12, 8.81870e-16, 9.14836e-08
